Date,Subject_ID,Rainfall_mm,Is_Rainy_Day,Session_Difficulty,Truth_Extraction_Speed_ms,Clarity_Score_1_to_10
2023-10-14,SUBJ-002,0.0,0,4,530,5.7
2023-10-15,SUBJ-003,0.0,0,3,507,6.3
2023-10-16,SUBJ-001,0.0,0,1,482,7.0
2023-10-17,SUBJ-002,19.9,1,4,310,9.2
2023-10-18,SUBJ-003,0.0,0,2,494,6.8
2023-10-19,SUBJ-001,0.0,0,5,588,5.0
2023-10-20,SUBJ-002,6.1,1,3,379,8.2
2023-10-21,SUBJ-003,0.0,0,1,490,6.9
2023-10-22,SUBJ-001,0.0,0,4,525,5.8
2023-10-23,SUBJ-002,0.0,0,2,502,6.5
2023-10-24,SUBJ-003,14.6,1,5,338,8.8
2023-10-25,SUBJ-001,0.0,0,3,511,6.1
2023-10-26,SUBJ-002,0.0,0,1,486,7.2
2023-10-27,SUBJ-003,0.0,0,4,535,5.6
2023-10-28,SUBJ-001,22.0,1,5,301,9.3
2023-10-29,SUBJ-002,1.9,1,2,405,7.4
2023-10-30,SUBJ-003,0.0,0,3,509,6.2
2023-10-31,SUBJ-001,0.0,0,2,497,6.7
2023-11-01,SUBJ-002,0.0,0,4,541,5.5
2023-11-02,SUBJ-003,0.0,0,1,483,7.1
2023-11-03,SUBJ-001,16.2,1,5,325,9.0
2023-11-04,SUBJ-002,18.1,1,4,318,9.1
2023-11-05,SUBJ-003,0.0,0,3,513,6.0
2023-11-06,SUBJ-001,0.0,0,2,500,6.5
2023-11-07,SUBJ-002,4.5,1,3,385,8.0
2023-11-08,SUBJ-003,0.0,0,5,582,5.2
2023-11-09,SUBJ-001,0.0,0,1,489,6.9
2023-11-10,SUBJ-002,0.0,0,4,529,5.8
2023-11-11,SUBJ-003,38.0,1,5,268,9.7
2023-11-12,SUBJ-001,10.4,1,3,355,8.6
2023-11-13,SUBJ-002,0.0,0,2,492,6.8
2023-11-14,SUBJ-003,0.0,0,1,481,7.3
2023-11-15,SUBJ-001,0.0,0,4,536,5.6
2023-11-16,SUBJ-002,0.0,0,3,516,6.3
2023-11-17,SUBJ-003,0.8,1,2,415,7.2
2023-11-18,SUBJ-001,0.0,0,5,595,4.7
2023-11-19,SUBJ-002,0.0,0,1,484,7.0
2023-11-20,SUBJ-003,23.5,1,4,299,9.3
2023-11-21,SUBJ-001,12.9,1,3,341,8.8
2023-11-22,SUBJ-002,0.0,0,2,504,6.4
2023-11-23,SUBJ-003,0.0,0,5,578,5.1
2023-11-24,SUBJ-001,0.0,0,1,487,7.1
2023-11-25,SUBJ-002,0.0,0,3,514,6.2
2023-11-26,SUBJ-003,0.0,0,4,531,5.7
2023-11-27,SUBJ-001,17.7,1,5,320,9.1
2023-11-28,SUBJ-002,0.0,0,2,499,6.6
2023-11-29,SUBJ-003,5.9,1,3,381,8.3
2023-11-30,SUBJ-001,0.0,0,4,522,5.9
2023-12-01,SUBJ-002,0.0,0,1,491,6.8
2023-12-02,SUBJ-003,0.0,0,3,506,6.3
2023-12-03,SUBJ-001,31.2,1,5,285,9.5
2023-12-04,SUBJ-002,0.0,0,2,501,6.5
2023-12-05,SUBJ-003,0.0,0,4,538,5.5
2023-12-06,SUBJ-001,0.0,0,1,480,7.2
2023-12-07,SUBJ-002,13.3,1,4,339,8.9
2023-12-08,SUBJ-003,15.8,1,3,328,9.0
2023-12-09,SUBJ-001,0.0,0,5,585,5.0
2023-12-10,SUBJ-002,0.0,0,2,495,6.7
2023-12-11,SUBJ-003,0.0,0,1,488,7.0
2023-12-12,SUBJ-001,2.7,1,3,399,7.6
2023-12-13,SUBJ-002,0.0,0,4,527,5.8
2023-12-14,SUBJ-003,0.0,0,2,503,6.4
2023-12-15,SUBJ-001,0.0,0,3,517,6.1
2023-12-16,SUBJ-002,26.9,1,5,293,9.4
2023-12-17,SUBJ-003,0.0,0,1,486,7.1
2023-12-18,SUBJ-001,8.1,1,4,365,8.4
2023-12-19,SUBJ-002,0.0,0,2,498,6.6
2023-12-20,SUBJ-003,0.0,0,5,590,4.9
2023-12-21,SUBJ-001,0.0,0,3,510,6.2
2023-12-22,SUBJ-002,11.8,1,4,348,8.7
2023-12-23,SUBJ-003,0.0,0,1,484,7.0
2023-12-24,SUBJ-001,0.0,0,2,496,6.7
2023-12-25,SUBJ-002,0.0,0,3,508,6.3
2023-12-26,SUBJ-003,41.5,1,5,261,9.8
2023-12-27,SUBJ-001,20.2,1,4,308,9.2
2023-12-28,SUBJ-002,0.0,0,2,502,6.5
2023-12-29,SUBJ-003,0.0,0,3,512,6.1
2023-12-30,SUBJ-001,3.9,1,3,390,7.8
2023-12-31,SUBJ-002,0.0,0,1,489,6.9
